title,n_human_reviews,baseline_jacc_mean,baseline_jacc_max,trained_jacc_mean,trained_jacc_max,baseline_sbert_mean,baseline_sbert_max,trained_sbert_mean,trained_sbert_max
A TWO-STAGE FRAMEWORK FOR MATHEMATICAL EXPRESSION RECOGNITION | OpenReview,3,0.16210552268244574,0.19230769230769232,0.15448277861822088,0.1728395061728395,0.5504781107107798,0.6480889320373535,0.609683632850647,0.6312304735183716
A Unified framework for randomized smoothing based certified defenses | OpenReview,3,0.13961689539314506,0.16333333333333333,0.17234409941975756,0.20723684210526316,0.657785952091217,0.7179614901542664,0.4586140314737956,0.5217363834381104
A Uniform Generalization Error Bound for Generative Adversarial Networks | OpenReview,3,0.12100154562175586,0.14754098360655737,0.18398176557379706,0.20765027322404372,0.6538763642311096,0.7356777191162109,0.7686692277590433,0.7985161542892456
A?MCTS: SEARCH WITH THEORETICAL GUARANTEE USING POLICY AND VALUE FUNCTIONS | OpenReview,3,0.13590233316262554,0.16393442622950818,0.1304803414847386,0.1644295302013423,0.5268547832965851,0.6052109003067017,0.6886760791142782,0.7275328636169434
Abductive Commonsense Reasoning | OpenReview,3,0.11250563246161192,0.12807881773399016,0.1398353302903512,0.15625,0.7199426094690958,0.7758064270019531,0.7207533319791158,0.8261991739273071
Accelerated Information Gradient flow | OpenReview,2,0.15039399162767791,0.1717557251908397,0.16335583218818203,0.18345323741007194,0.4701048731803894,0.5293126106262207,0.5914090275764465,0.6385369896888733
Accelerated Variance Reduced Stochastic Extragradient Method for Sparse Machine Learning Problems | OpenReview,3,0.1679616451565212,0.20526315789473684,0.1578224727044535,0.17073170731707318,0.6954512198766073,0.7745954394340515,0.6816126505533854,0.7047176361083984
Accelerating First-Order Optimization Algorithms | OpenReview,3,0.13099287448124655,0.13636363636363635,0.1433252645624849,0.15337423312883436,0.5439176162083944,0.6598540544509888,0.5776175260543823,0.6432477235794067
Accelerating Monte Carlo Bayesian Inference via Approximating Predictive Uncertainty over the Simplex | OpenReview,3,0.13875496184960687,0.18048780487804877,0.13451443886226494,0.1414141414141414,0.6623629530270895,0.7155716419219971,0.40873127182324726,0.45676660537719727
Accelerating Reinforcement Learning Through GPU Atari Emulation | OpenReview,3,0.09805972617392156,0.10471204188481675,0.14898393706627006,0.19672131147540983,0.5916052659352621,0.7109746932983398,0.5849358638127645,0.629824161529541
Accelerating SGD with momentum for over-parameterized learning | OpenReview,3,0.14732204738844845,0.16334661354581673,0.1586501267173536,0.16806722689075632,0.6181184649467468,0.7859650254249573,0.6293010612328848,0.7066792249679565
Action Semantics Network: Considering the Effects of Actions in Multiagent Systems | OpenReview,3,0.136307960816241,0.16312056737588654,0.15573766568791444,0.16791044776119404,0.6966285705566406,0.7207919359207153,0.452878604332606,0.4780755043029785
Active Learning Graph Neural Networks via Node Feature Propagation | OpenReview,3,0.13168558858744175,0.14427860696517414,0.1603374899978048,0.18823529411764706,0.5925159653027853,0.7010145783424377,0.5841793318589529,0.6981054544448853
Actor-Critic Approach for Temporal Predictive Clustering | OpenReview,3,0.14013675009352042,0.14553990610328638,0.16753162857814022,0.19318181818181818,0.7004957993825277,0.7966418862342834,0.37893208861351013,0.4389467239379883
Acutum: When Generalization Meets Adaptability | OpenReview,3,0.0939438263701307,0.10176991150442478,0.1661074385784909,0.18450184501845018,0.5050455033779144,0.6350654363632202,0.5816584328810374,0.7334483861923218
